external_id,session_date,distance_km,pace_sec_per_km,resting_hr,fatigue_level,notes
SYN0001,2026-01-05,13.8,6:00,73,5,SYNTHETIC training record
SYN0001,2026-01-07,12.68,5:59,46,1,SYNTHETIC training record
SYN0001,2026-01-10,7.84,5:59,61,5,SYNTHETIC training record
SYN0001,2026-01-12,12.3,5:55,67,5,SYNTHETIC training record
SYN0001,2026-01-14,7.87,6:20,63,3,SYNTHETIC training record
SYN0001,2026-01-17,14.86,5:54,50,4,SYNTHETIC training record
SYN0001,2026-01-19,8.61,6:15,51,3,SYNTHETIC training record
SYN0001,2026-01-21,6.21,6:00,48,3,SYNTHETIC training record
SYN0001,2026-01-24,12.85,6:16,70,1,SYNTHETIC training record
SYN0001,2026-01-26,11.97,6:23,74,4,SYNTHETIC training record
SYN0001,2026-01-28,12.18,5:59,71,5,SYNTHETIC training record
SYN0001,2026-01-31,12.51,6:17,67,1,SYNTHETIC training record
SYN0002,2026-01-05,9.94,4:44,59,3,SYNTHETIC training record
SYN0002,2026-01-07,9.81,4:48,51,3,SYNTHETIC training record
SYN0002,2026-01-10,12.92,4:42,50,5,SYNTHETIC training record
SYN0002,2026-01-12,7.12,4:53,57,3,SYNTHETIC training record
SYN0002,2026-01-14,13.9,4:52,71,1,SYNTHETIC training record
SYN0002,2026-01-17,15.68,4:52,70,3,SYNTHETIC training record
SYN0002,2026-01-19,8.48,5:03,51,5,SYNTHETIC training record
SYN0002,2026-01-21,7.76,4:58,60,4,SYNTHETIC training record
SYN0002,2026-01-24,6.86,5:07,49,2,SYNTHETIC training record
SYN0002,2026-01-26,14.71,4:54,58,5,SYNTHETIC training record
SYN0002,2026-01-28,9.71,5:03,49,5,SYNTHETIC training record
SYN0002,2026-01-31,6.18,5:09,46,1,SYNTHETIC training record
SYN0003,2026-01-05,11.88,5:21,62,1,SYNTHETIC training record
SYN0003,2026-01-07,13.86,4:59,62,3,SYNTHETIC training record
SYN0003,2026-01-10,6.45,5:13,58,2,SYNTHETIC training record
SYN0003,2026-01-12,5.04,5:21,68,3,SYNTHETIC training record
SYN0003,2026-01-14,14.91,5:24,61,1,SYNTHETIC training record
SYN0003,2026-01-17,15.94,5:11,61,5,SYNTHETIC training record
SYN0003,2026-01-19,6.99,5:04,69,2,SYNTHETIC training record
SYN0003,2026-01-21,12.79,4:52,60,1,SYNTHETIC training record
SYN0003,2026-01-24,17.08,4:59,73,3,SYNTHETIC training record
SYN0003,2026-01-26,5.75,5:07,73,5,SYNTHETIC training record
SYN0003,2026-01-28,6.11,4:57,60,1,SYNTHETIC training record
SYN0003,2026-01-31,6.67,5:00,60,5,SYNTHETIC training record
SYN0004,2026-01-05,14.27,5:06,57,3,SYNTHETIC training record
SYN0004,2026-01-07,16.69,5:22,59,1,SYNTHETIC training record
SYN0004,2026-01-10,7.92,5:09,55,1,SYNTHETIC training record
SYN0004,2026-01-12,12.65,5:08,45,1,SYNTHETIC training record
SYN0004,2026-01-14,7.98,4:57,73,1,SYNTHETIC training record
SYN0004,2026-01-17,5.92,5:15,52,3,SYNTHETIC training record
SYN0004,2026-01-19,7.79,5:25,49,5,SYNTHETIC training record
SYN0004,2026-01-21,8.16,5:24,60,4,SYNTHETIC training record
SYN0004,2026-01-24,6.23,5:06,66,4,SYNTHETIC training record
SYN0004,2026-01-26,10.51,5:16,59,1,SYNTHETIC training record
SYN0004,2026-01-28,5.79,5:00,68,3,SYNTHETIC training record
SYN0004,2026-01-31,8.23,5:00,51,5,SYNTHETIC training record
SYN0005,2026-01-05,10.76,5:34,72,5,SYNTHETIC training record
SYN0005,2026-01-07,5.66,5:36,62,1,SYNTHETIC training record
SYN0005,2026-01-10,17.04,5:35,72,2,SYNTHETIC training record
SYN0005,2026-01-12,10.28,5:40,60,2,SYNTHETIC training record
SYN0005,2026-01-14,16.73,5:55,50,4,SYNTHETIC training record
SYN0005,2026-01-17,17.81,5:30,53,4,SYNTHETIC training record
SYN0005,2026-01-19,10.5,5:48,75,5,SYNTHETIC training record
SYN0005,2026-01-21,7.01,6:01,54,2,SYNTHETIC training record
SYN0005,2026-01-24,12.53,5:33,62,1,SYNTHETIC training record
SYN0005,2026-01-26,5.74,5:50,63,4,SYNTHETIC training record
SYN0005,2026-01-28,16.95,6:02,61,2,SYNTHETIC training record
SYN0005,2026-01-31,17.49,5:33,47,2,SYNTHETIC training record
SYN0006,2026-01-05,12.53,4:56,46,5,SYNTHETIC training record
SYN0006,2026-01-07,10.45,4:46,63,5,SYNTHETIC training record
SYN0006,2026-01-10,17.15,5:01,51,3,SYNTHETIC training record
SYN0006,2026-01-12,8.45,4:56,49,3,SYNTHETIC training record
SYN0006,2026-01-14,9.11,5:10,69,1,SYNTHETIC training record
